,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
osa-nov-miR018,0.095,-5.02,0.001,0.095,0.003,0.097,0.04,-0.739,0.093,-0.218,-0.759,0.11,0.23,-0.001,0.16,0.238,7.884,0.003,0.198,0.004,0.263,1.809,-0.058,-16.326,0.0,0.047,-0.004,-0.261,-0.232,-0.232,-0.067,-1.355,0.671,-0.2,-2.228,-0.024,-0.053,0.004,-7.754,-0.004,-0.029,-0.014,0.092,-0.906,-0.006,-15.179,0.002,0.014,-0.001,-0.161,-0.028,-1.73,-0.074,0.306,0.324,-0.044,-2.266,0.003,-0.089,-0.065,-8.849,-0.001,-0.077,-0.015,0.014,-1.386
osa-miR820b,0.058,-1.297,0.001,0.222,0.005,0.247,0.105,-0.649,-0.011,-0.235,-1.462,0.058,0.023,-0.001,0.177,0.027,-0.192,0.008,0.039,-0.007,0.022,0.065,-0.05,-5.201,0.0,0.012,0.0,-0.173,0.05,-2.245,0.03,1.702,-0.095,-0.05,-0.966,-0.009,-0.225,-0.101,1.534,0.002,-0.094,-0.004,-0.102,0.023,0.065,2.924,-0.004,-0.012,0.0,-0.176,0.05,0.229,0.07,2.57,-0.836,0.065,0.827,0.027,-0.192,0.191,10.088,0.005,0.152,0.038,0.229,1.89
sja-miR408b-5p,0.033,-20.793,-0.002,0.042,0.001,0.064,-0.006,0.391,-0.026,-2.089,0.162,0.061,-2.589,0.0,0.053,0.025,-4.487,0.002,-0.019,0.003,0.075,-0.555,-0.132,14.751,-0.004,-0.123,-0.004,-0.164,-0.111,-2.255,-0.129,-0.336,-0.509,-0.047,2.168,0.036,-0.167,-0.048,6.287,-0.009,0.015,0.003,-0.158,0.874,-0.022,25.928,-0.004,-0.13,-0.003,-0.065,0.065,-0.623,-0.039,-3.554,-1.693,-0.05,4.152,0.053,0.0,0.194,12.579,-0.005,0.191,0.043,0.053,2.554
gma-miR4416a,0.062,-5.891,0.0,0.145,0.007,0.306,0.167,-0.919,0.041,-1.562,0.066,0.08,-0.593,-0.001,0.349,0.057,-1.398,0.009,0.05,-0.004,0.111,-0.016,-0.052,-6.021,0.0,0.036,-0.002,-0.108,0.059,-2.145,0.005,-1.268,1.294,-0.092,-1.603,-0.006,0.029,-0.256,-5.699,-0.004,-0.214,-0.02,-0.196,-1.721,0.007,-9.985,0.001,-0.024,0.002,-0.198,0.063,-0.933,-0.023,-0.25,2.242,-0.097,-2.13,-0.007,-0.017,-0.18,-8.15,0.004,-0.189,0.006,-0.104,-1.72
osa-miRNovel166,0.111,-23.808,-0.001,0.075,0.002,0.086,0.094,-1.306,0.066,-2.529,-0.08,0.061,-3.329,-0.001,0.042,-0.009,-5.498,0.004,-0.068,-0.005,0.091,-0.821,0.006,0.056,-0.004,-0.032,-0.001,-0.14,-0.056,-3.113,0.004,-0.482,2.101,-0.047,-0.236,-0.008,-0.111,-0.073,-1.506,-0.001,-0.022,-0.019,-0.073,-0.507,-0.053,-5.191,0.0,-0.034,0.0,-0.183,-0.105,-3.856,-0.01,-3.901,5.178,-0.037,-1.226,-0.018,-0.111,-0.175,-7.773,-0.002,-0.129,-0.038,-0.108,-1.778
osa-miR1861h,0.125,-9.715,-0.003,0.045,0.009,0.325,0.05,-0.528,-0.069,-0.25,-0.633,0.19,-0.983,-0.001,0.16,0.055,-1.06,0.012,0.036,0.001,0.085,0.04,-0.132,-20.313,0.001,-0.111,0.001,-0.105,-0.158,-0.95,-0.137,-1.947,-0.448,0.042,-2.88,-0.022,-0.168,-0.101,-11.352,0.0,-0.124,-0.018,-0.053,-1.789,0.028,0.418,0.0,-0.061,-0.003,-0.264,0.0,-1.53,-0.09,-0.778,-1.177,0.011,0.609,0.009,-0.189,0.098,0.92,-0.004,0.11,-0.006,0.064,0.551
rsa-mir23,0.061,-13.882,-0.003,0.036,0.001,0.011,-0.102,-2.586,0.011,-1.139,-1.274,0.058,-2.189,0.0,-0.116,-0.1,-3.471,0.002,-0.098,-0.006,-0.014,-0.748,-0.047,-3.556,-0.002,-0.018,-0.002,-0.041,-0.123,-3.941,0.023,6.877,-2.924,-0.05,-0.737,-0.009,-0.088,-0.078,2.898,-0.004,-0.073,-0.033,-0.129,0.181,-0.05,23.241,0.001,-0.019,-0.001,0.105,0.325,4.186,0.066,1.895,-1.927,0.025,3.524,0.004,0.279,0.153,1.124,-0.005,0.133,0.005,0.068,0.456
vvi-miR3636,0.14,-12.162,-0.001,0.062,0.011,0.289,0.095,-0.089,-0.026,-0.38,-0.056,0.182,-1.301,-0.001,0.132,0.102,1.026,0.012,0.057,0.004,0.14,0.435,0.1,-13.678,-0.001,-0.03,0.0,-0.009,-0.013,-1.181,-0.259,-1.368,-0.053,-0.286,-3.181,-0.02,-0.104,-0.435,-29.05,0.003,-0.345,-0.026,-0.26,-5.368,0.105,-5.631,-0.001,0.018,-0.002,0.027,-0.032,-0.716,-0.012,-0.155,0.541,-0.2,-0.802,-0.01,-0.036,-0.078,-2.233,0.0,-0.049,-0.008,-0.086,-0.519
rsa-miRn14,-0.011,-11.774,0.003,0.116,0.001,0.147,0.006,-2.372,-0.069,-1.025,-0.602,0.061,-1.193,0.0,0.111,0.058,-0.484,0.001,0.03,0.002,0.036,0.193,-0.178,-2.975,-0.001,-0.155,-0.003,-0.05,-0.029,1.117,0.081,0.924,0.528,-0.035,-0.927,0.031,-0.067,-0.247,-1.662,-0.006,-0.209,0.002,-0.287,-1.099,0.084,28.557,0.004,-0.105,-0.002,-0.093,0.127,-1.192,-0.051,-3.133,-1.663,-0.025,3.987,0.034,-0.012,0.157,1.793,-0.003,0.137,0.03,0.108,0.948
ghr-miR8175,0.155,-3.751,-0.002,0.155,0.007,0.186,0.283,-1.686,-0.181,-2.072,-0.783,0.166,-0.147,0.001,0.213,0.175,-0.206,0.008,0.107,0.002,0.222,0.52,-0.003,-8.172,-0.006,-0.114,0.004,0.132,-0.108,-1.42,0.111,-2.664,3.2,0.02,-1.746,-0.009,-0.073,-0.195,-8.221,0.004,-0.172,-0.016,-0.123,-1.835,-0.062,-17.572,0.005,-0.121,0.004,0.198,-0.31,2.973,-0.081,-6.458,-1.157,-0.012,-3.16,-0.002,-0.195,-0.334,-17.103,0.004,-0.248,-0.002,-0.248,-3.413
sit-miRn22,0.249,4.074,-0.001,0.18,0.008,0.26,0.208,-1.248,-0.127,-0.175,-0.154,0.163,1.031,0.0,0.139,0.163,2.484,0.012,0.118,0.006,0.114,0.907,-0.07,-3.708,-0.001,-0.012,-0.005,-0.225,-0.228,2.142,0.042,-1.251,-0.177,-0.178,-0.739,-0.001,-0.076,-0.118,-6.677,-0.008,-0.096,0.004,-0.114,-1.261,-0.22,-16.884,-0.004,-0.108,-0.011,-0.418,-0.241,-2.293,-0.004,-2.183,2.359,-0.189,-3.003,-0.015,-0.022,-0.195,-11.511,-0.017,-0.151,-0.027,-0.074,-2.297
osa-NR769,0.045,-12.052,0.002,0.05,0.005,0.095,0.05,-2.173,-0.119,-1.93,-0.306,0.17,-1.509,0.002,-0.01,0.051,-3.643,0.008,-0.018,0.005,0.09,-0.351,-0.005,-16.822,-0.006,-0.079,-0.001,-0.111,0.053,1.514,-0.017,-6.358,-1.716,-0.053,-3.335,0.004,-0.168,-0.297,-21.384,0.0,-0.31,0.012,-0.216,-3.92,0.05,-4.254,-0.003,0.0,0.0,-0.067,0.167,0.862,0.141,-1.944,-0.962,-0.056,-0.815,-0.003,0.022,-0.13,-2.067,0.003,-0.067,0.001,-0.161,-0.778
pas-miR2118,0.061,-2.461,-0.001,0.188,0.004,0.107,0.109,-0.269,-0.189,-0.374,-0.435,0.15,0.324,0.0,0.059,0.228,-0.312,0.006,0.16,0.011,0.218,0.69,-0.086,-15.136,-0.003,-0.202,-0.003,-0.114,-0.1,0.638,-0.046,-2.007,-0.074,-0.164,-2.792,0.002,0.021,-0.215,-7.13,-0.004,-0.203,-0.007,-0.164,-1.612,-0.09,-8.225,0.002,-0.216,0.002,-0.043,-0.068,0.775,0.06,0.677,-1.031,-0.173,-1.884,0.034,0.085,-0.24,4.532,0.003,-0.189,0.003,-0.263,-0.029
nnu-novel-miR-56,0.169,8.361,0.001,0.277,0.005,0.182,0.128,-1.303,0.031,0.052,-0.053,0.171,2.411,-0.001,0.231,0.369,11.127,0.008,0.333,0.006,0.314,2.727,-0.061,16.592,0.001,0.1,-0.004,-0.143,0.0,1.418,-0.118,-1.931,-1.65,-0.041,3.007,-0.004,0.004,0.175,3.137,-0.005,0.193,0.006,0.091,1.186,-0.145,5.596,-0.005,-0.045,-0.005,-0.2,0.005,-1.671,-0.183,-1.382,-0.962,-0.009,1.03,0.023,-0.095,0.051,-2.798,-0.006,0.038,0.015,-0.005,-0.045
pfo-miR159b,0.086,-0.59,0.001,0.042,0.008,0.263,0.0,-1.315,-0.076,-0.715,0.201,0.216,0.388,0.0,0.116,0.094,1.907,0.01,0.088,0.004,0.094,0.668,-0.02,3.73,-0.001,-0.123,-0.001,0.056,-0.222,2.063,0.096,1.535,0.636,-0.085,0.319,0.009,-0.099,-0.047,6.266,-0.001,-0.082,0.02,-0.067,0.596,-0.022,11.924,-0.002,-0.071,-0.009,-0.003,-0.176,-0.965,0.108,4.167,0.744,-0.167,2.038,-0.001,-0.015,0.163,14.38,-0.013,0.131,0.016,0.04,2.514
nnu-novel-miR-55,0.124,-2.011,0.0,0.05,0.007,0.231,0.091,-1.765,-0.012,-0.252,-0.563,0.223,0.058,0.001,0.103,0.05,1.055,0.01,0.051,0.004,0.058,0.324,0.082,-10.629,0.0,-0.091,0.003,0.004,-0.043,1.237,0.02,-6.461,-2.006,0.134,-1.991,0.002,-0.225,-0.137,-13.475,0.005,-0.161,0.007,-0.035,-2.28,0.036,-14.273,-0.003,-0.045,0.005,0.064,-0.093,-2.056,-0.031,-6.641,-0.077,0.064,-2.866,-0.003,-0.145,-0.257,-15.163,0.006,-0.228,-0.013,-0.127,-3.066
pla-miR482b-3p,0.035,7.791,0.001,0.25,0.002,0.045,0.22,-0.803,-0.035,-0.825,-0.085,0.295,1.999,0.0,0.06,0.327,6.38,0.002,0.259,0.01,0.31,1.941,-0.016,-11.002,-0.002,-0.316,-0.005,-0.111,-0.153,-0.258,0.003,-0.895,-0.189,0.016,-2.033,-0.012,-0.042,-0.194,-9.264,-0.008,-0.125,-0.027,-0.042,-1.99,-0.017,-14.485,0.0,-0.389,-0.004,-0.061,-0.233,-0.686,-0.03,-1.972,0.384,-0.072,-2.756,-0.031,-0.044,-0.286,-15.839,-0.006,-0.212,-0.037,-0.156,-3.007
ptc-miR480,0.05,-7.043,0.0,0.045,-0.001,0.037,0.14,-2.27,-0.097,-0.393,-0.102,0.124,-0.831,-0.002,0.062,-0.03,-4.181,-0.002,-0.018,-0.004,-0.017,-0.65,-0.156,-13.859,-0.004,-0.095,-0.006,-0.156,-0.052,0.46,-0.062,-1.095,0.411,-0.173,-2.384,-0.002,0.017,-0.204,-9.896,-0.009,-0.16,-0.005,-0.16,-2.027,-0.082,9.168,0.004,0.023,0.002,-0.068,-0.005,3.033,0.098,0.182,1.327,-0.082,1.692,0.009,0.118,0.179,11.385,0.005,0.137,0.02,0.168,2.041
gma-MIR1508a,0.224,-1.181,-0.001,0.034,0.004,0.156,0.134,0.869,-0.097,-0.467,0.535,0.159,0.666,0.0,0.159,0.228,3.617,0.006,0.164,0.009,0.181,1.257,-0.021,-1.316,0.002,-0.014,-0.002,-0.012,-0.171,-1.894,-0.194,0.419,0.086,-0.064,-0.806,0.024,-0.133,-0.173,-13.254,-0.002,-0.143,-0.008,-0.11,-2.389,-0.083,-6.827,0.001,-0.015,-0.001,0.248,-0.233,-0.934,0.069,1.727,0.417,-0.12,-1.373,0.038,-0.108,-0.21,6.491,-0.003,-0.137,0.003,-0.18,0.17
osa-miR444,0.183,-5.086,-0.002,0.042,0.002,0.091,0.072,-1.964,-0.048,-0.452,-0.264,0.055,-0.144,0.001,0.233,0.167,4.688,0.004,0.127,0.0,0.158,1.217,-0.053,-4.279,0.001,-0.012,-0.002,-0.058,0.012,-0.827,-0.062,-0.594,-1.213,-0.14,-0.705,-0.004,0.079,0.015,6.271,-0.004,-0.043,0.008,0.0,0.905,-0.198,16.313,0.0,0.105,-0.001,0.08,-0.046,1.023,-0.016,-2.656,-1.51,-0.09,3.163,-0.005,0.121,0.205,13.772,-0.003,0.223,0.018,0.059,2.729
sly-miR156d-3p,0.06,-4.965,0.0,0.06,0.0,0.0,0.11,-1.267,-0.008,-0.5,0.167,0.06,-0.707,-0.001,0.06,0.023,-2.246,0.001,-0.003,-0.003,0.05,-0.233,-0.095,-5.214,0.0,-0.105,-0.011,-0.158,0.0,-0.853,-0.053,-1.105,2.267,-0.005,-1.089,-0.015,-0.042,-0.124,-8.186,-0.017,-0.1,-0.026,-0.053,-1.607,-0.083,-14.219,0.001,-0.067,0.001,0.028,0.0,2.633,0.047,-1.972,2.754,0.05,-2.175,-0.005,-0.044,-0.124,-5.863,0.001,-0.094,-0.013,-0.056,-1.315
gma-miR1507a,0.125,-3.263,0.002,0.028,0.006,0.095,0.07,-1.822,-0.111,-0.347,-0.005,0.045,-0.15,-0.002,0.06,0.077,-1.469,0.009,0.062,0.001,0.077,0.171,-0.026,-27.983,-0.004,-0.2,-0.002,-0.163,-0.145,-0.071,-0.044,-1.292,0.04,-0.179,-4.465,-0.024,-0.042,-0.233,-9.407,-0.002,-0.224,-0.021,-0.189,-1.951,-0.058,-14.453,-0.001,-0.008,-0.002,-0.136,-0.042,-1.485,-0.048,0.3,-0.389,-0.022,-2.357,0.008,0.011,-0.166,-6.448,-0.004,-0.141,-0.011,-0.097,-1.393
osa-miR408-3p,0.114,-5.232,-0.001,0.194,0.008,0.114,0.05,-0.368,-0.091,-0.399,0.335,0.05,-0.162,0.001,0.0,0.221,3.161,0.012,0.15,0.005,0.194,1.324,0.064,-1.428,0.002,0.079,0.003,0.064,0.056,0.496,0.111,-0.655,2.685,0.056,-0.454,-0.001,0.0,0.001,-0.219,0.006,0.002,-0.012,0.079,-0.268,0.009,-20.307,-0.001,0.009,-0.002,0.009,0.062,-0.841,-0.049,-2.455,2.654,0.062,-3.109,-0.018,0.0,-0.116,-13.842,-0.001,-0.106,-0.037,0.009,-2.355
nta-miR477b,0.166,-0.873,-0.001,0.186,0.016,0.565,0.147,-0.058,-0.068,-0.452,0.234,0.18,0.37,0.0,0.321,0.156,0.433,0.021,0.13,0.001,0.133,0.545,0.009,-7.6,0.0,0.076,0.009,0.374,-0.073,-0.939,0.031,-0.933,-1.197,0.003,-1.362,-0.015,0.117,-0.12,-9.13,0.012,-0.1,-0.012,-0.073,-1.581,-0.05,-0.249,-0.001,0.071,0.001,0.161,-0.025,-0.712,-0.106,1.015,-1.119,-0.019,-0.412,-0.018,-0.053,-0.159,-7.753,0.001,-0.131,-0.016,-0.127,-1.465
bna-miR6034,0.139,-3.762,0.001,0.036,0.008,0.211,0.102,0.042,0.02,-0.41,1.326,0.177,0.463,-0.001,0.288,0.331,6.226,0.008,0.249,0.011,0.313,1.94,0.035,-12.311,-0.002,-0.018,0.001,-0.111,0.009,0.156,0.142,-0.386,3.793,-0.044,-2.306,-0.016,0.003,-0.22,-13.222,0.0,-0.181,-0.021,-0.073,-2.804,0.062,-25.338,0.001,-0.019,-0.002,-0.294,-0.096,-4.573,0.003,-0.904,6.086,-0.164,-5.088,-0.032,-0.139,-0.557,-29.603,-0.001,-0.436,-0.06,-0.269,-6.064
tae-miR6197,0.291,7.856,0.006,0.05,0.004,0.094,0.155,-2.97,0.105,-0.382,-0.171,0.139,1.545,0.001,0.119,0.186,7.631,0.007,0.141,0.008,0.141,1.71,-0.026,-3.892,-0.006,-0.058,0.0,-0.05,-0.073,-0.228,-0.234,7.07,-1.394,0.058,-0.614,-0.011,-0.07,-0.091,-4.16,-0.002,-0.052,-0.027,-0.088,-0.949,-0.028,-1.215,-0.009,-0.062,-0.002,-0.034,0.127,-0.492,-0.159,6.176,-0.932,-0.031,-0.595,-0.015,0.13,-0.085,-10.492,-0.005,-0.063,-0.024,0.009,-1.771
tae-miR9652,0.145,-1.041,0.001,0.05,0.005,0.16,0.11,-0.968,0.128,-0.138,-0.108,0.128,0.02,-0.002,0.06,0.08,5.119,0.008,0.059,0.0,0.075,0.992,-0.005,-2.318,-0.004,-0.053,-0.004,-0.063,-0.237,0.173,-0.233,0.368,0.436,-0.226,-0.442,0.006,-0.079,-0.119,-3.215,-0.003,-0.082,0.005,-0.103,-0.86,0.05,6.158,0.001,-0.056,-0.001,0.022,-0.161,-0.253,-0.121,2.778,0.394,-0.175,0.736,-0.007,-0.011,-0.061,-2.387,-0.002,-0.037,0.0,-0.078,-0.564
osa-miR1878,0.267,4.903,0.003,0.095,0.008,0.333,0.14,-0.809,0.155,-0.004,0.027,0.182,1.352,0.0,0.153,0.211,10.324,0.013,0.173,0.005,0.178,2.149,0.041,-10.219,0.004,0.004,0.0,-0.032,-0.022,-0.487,0.069,-1.067,0.267,0.052,-1.085,-0.024,-0.03,0.073,-4.664,0.001,0.046,-0.018,0.091,-0.298,-0.014,-5.818,0.001,-0.045,-0.003,-0.177,-0.036,-0.151,-0.021,1.184,0.042,0.032,-0.528,-0.03,-0.082,0.031,-6.777,-0.003,0.025,-0.016,0.045,-0.76
ppt-miR1028a,0.127,-4.829,0.003,0.064,0.006,0.152,0.141,-2.206,0.087,-0.194,-0.206,0.127,-0.483,0.0,0.061,0.005,2.373,0.008,0.003,-0.001,-0.011,0.341,-0.088,-3.154,-0.003,-0.044,-0.004,-0.117,-0.047,-0.015,-0.052,0.611,-0.114,-0.073,-0.76,0.028,-0.047,-0.131,-3.022,-0.005,-0.093,0.003,-0.123,-0.841,-0.17,-22.971,0.0,-0.046,-0.006,-0.248,-0.124,1.567,-0.006,0.127,0.681,-0.158,-3.175,0.028,-0.05,-0.039,-4.022,-0.009,-0.053,0.001,0.046,-0.689
ppt-miR1043,0.194,-8.236,0.001,-0.062,0.008,0.176,0.148,-2.347,-0.159,-1.389,0.19,0.148,-1.256,-0.003,0.167,-0.023,-6.524,0.008,-0.03,-0.008,0.049,-0.947,-0.147,-15.965,0.0,-0.183,-0.001,-0.049,-0.092,0.934,-0.142,1.516,0.014,-0.176,-2.733,0.025,0.118,-0.197,-4.946,-0.002,-0.159,-0.001,-0.124,-1.399,-0.219,-19.753,0.002,0.094,-0.008,-0.177,-0.167,-1.915,0.159,-7.625,-1.716,-0.083,-2.604,0.02,0.063,0.066,-5.147,-0.01,-0.01,0.008,0.115,-0.52
sly-miR482b,0.11,4.229,0.0,0.2,0.003,0.04,0.12,-2.111,-0.001,-1.02,-0.311,0.16,1.399,0.001,0.06,0.243,4.819,0.004,0.221,0.005,0.245,1.441,0.011,-16.363,0.001,-0.263,-0.006,-0.116,-0.021,0.431,0.009,-0.505,0.01,-0.053,-3.193,-0.017,-0.095,-0.273,-9.725,-0.009,-0.256,-0.025,-0.163,-2.275,-0.044,-29.924,-0.001,-0.278,-0.001,-0.033,-0.1,0.328,-0.045,-6.211,0.183,-0.033,-6.021,-0.015,-0.083,-0.547,-27.062,-0.004,-0.542,-0.011,-0.322,-5.513
vvi-miR828a,0.243,-2.238,-0.001,0.17,0.009,0.293,0.12,-0.798,-0.149,-0.48,-0.006,0.145,0.192,0.0,0.11,0.163,2.012,0.013,0.114,0.006,0.125,0.893,-0.061,-12.325,-0.002,-0.032,-0.001,-0.061,0.058,-1.047,0.003,1.076,-0.147,-0.089,-2.17,0.021,0.011,-0.213,-5.267,-0.001,-0.155,-0.01,-0.132,-1.537,-0.064,-21.603,-0.001,-0.089,-0.002,-0.017,0.053,-1.478,-0.315,-0.417,2.194,0.0,-4.091,0.008,-0.028,-0.372,-21.707,-0.005,-0.294,-0.036,-0.208,-4.256
ghr-miR482a,0.095,3.242,-0.002,0.15,0.007,0.095,0.145,-1.006,-0.03,-0.125,0.178,0.145,1.01,0.0,0.0,0.191,5.417,0.008,0.14,0.009,0.15,1.443,0.047,-13.772,0.0,-0.263,0.003,0.047,-0.037,-0.172,-0.037,-0.947,0.718,-0.037,-2.967,-0.007,0.0,-0.351,-12.875,0.002,-0.297,-0.026,-0.263,-2.956,-0.006,-12.31,0.001,-0.222,0.003,-0.006,0.094,1.673,-0.011,-1.417,1.396,0.094,-2.766,0.0,0.0,-0.331,-14.971,0.003,-0.269,-0.019,-0.222,-3.13
ppt-miR1039,0.0,1.933,0.0,0.169,0.009,0.352,0.111,0.145,0.106,-0.147,0.188,0.158,0.897,0.0,0.319,0.225,8.908,0.009,0.165,0.007,0.155,1.975,0.0,1.195,-0.001,0.012,0.003,0.038,0.041,-1.378,-0.102,0.284,-0.947,-0.05,0.076,0.033,0.058,-0.075,-1.316,0.003,-0.033,0.001,-0.058,-0.461,0.0,8.35,-0.001,0.012,-0.003,-0.136,0.139,-1.072,-0.121,2.353,-1.272,-0.046,0.869,0.027,-0.115,-0.153,-5.453,-0.003,-0.08,0.004,-0.121,-1.194
osa-miR1861f,0.366,-0.361,0.001,0.108,0.015,0.416,0.161,-1.482,-0.01,-0.083,-0.084,0.163,0.015,0.0,0.036,0.053,1.388,0.022,0.027,0.003,0.036,0.39,0.158,-13.898,-0.006,-0.108,0.01,0.228,-0.053,0.884,-0.271,-1.322,0.036,0.006,-2.572,0.002,-0.018,-0.212,-13.288,0.015,-0.17,-0.003,-0.129,-2.513,0.043,-3.377,-0.003,0.003,0.006,0.077,0.062,2.445,-0.11,-0.824,0.03,0.065,-0.395,0.009,0.04,0.066,3.205,0.009,0.015,0.021,0.04,0.684
ghr-miR394a,0.266,-4.005,-0.002,0.058,0.002,0.197,0.316,0.599,0.078,-0.327,0.667,0.089,0.006,0.0,0.357,0.203,3.274,0.004,0.142,0.016,0.211,1.034,0.073,-5.261,-0.006,0.006,-0.004,-0.035,0.111,1.94,-0.073,-1.599,0.349,-0.184,-0.892,0.003,0.099,-0.022,-5.061,-0.006,-0.038,0.012,0.0,-0.749,0.034,-19.933,0.001,0.124,-0.001,-0.059,-0.059,1.576,-0.113,-2.198,1.955,-0.077,-3.415,-0.006,-0.13,-0.23,-12.765,-0.001,-0.19,-0.01,-0.059,-2.513
osa-miR529b,0.125,-30.179,-0.002,0.061,0.011,0.41,0.042,-1.175,0.023,-0.845,-0.115,0.271,-3.757,0.001,0.094,0.041,-0.804,0.013,-0.034,0.001,0.036,0.051,0.114,31.286,0.004,0.009,0.004,0.38,0.044,1.335,0.106,0.784,0.435,0.009,4.034,0.021,0.044,0.047,11.975,0.006,0.051,0.025,-0.018,1.734,0.111,3.874,0.0,0.068,-0.002,0.406,-0.248,1.015,0.083,2.529,0.559,-0.108,0.905,0.019,0.028,0.055,11.578,-0.003,0.049,0.026,-0.025,1.76
ath-miR831,0.06,-18.979,0.002,0.06,0.001,0.14,0.037,-2.185,-0.05,-1.273,0.133,0.06,-2.433,0.0,0.11,0.005,-2.461,0.003,-0.026,-0.002,0.05,-0.299,-0.063,-15.991,-0.001,-0.042,0.0,0.0,-0.171,0.591,0.103,-1.032,2.391,-0.042,-2.967,-0.009,-0.042,-0.286,-11.141,-0.001,-0.23,-0.019,-0.211,-2.611,-0.022,20.153,0.0,0.011,0.0,-0.1,-0.125,-2.791,0.114,1.383,2.571,-0.044,2.066,-0.015,-0.111,-0.135,-2.293,-0.001,-0.085,-0.023,-0.111,-0.936
bna-miR167a,0.128,-11.187,-0.001,0.1,0.004,0.145,0.027,-0.759,0.027,-1.065,-0.737,0.07,-1.181,-0.003,0.02,0.14,1.471,0.007,0.073,-0.005,0.145,0.601,-0.166,-5.432,0.0,-0.105,-0.004,-0.205,0.029,0.37,0.042,0.95,0.744,0.021,-0.893,0.012,-0.084,0.003,6.35,-0.006,-0.076,0.019,-0.005,0.856,-0.083,30.47,0.003,0.056,0.0,-0.15,-0.025,-0.252,0.049,1.419,-0.453,0.022,5.949,0.006,0.103,0.517,32.826,0.0,0.508,0.016,0.325,6.129
nnu-novel-miR-53,0.119,-17.274,-0.002,0.191,0.007,0.283,-0.003,0.803,-0.088,-1.094,-0.554,0.055,-2.175,0.0,0.111,0.07,-4.026,0.012,0.009,0.013,0.147,-0.343,-0.149,-1.119,0.0,-0.02,-0.005,-0.234,-0.003,-0.084,-0.164,-1.673,-1.84,-0.164,-0.29,0.006,-0.161,-0.106,2.943,-0.007,-0.08,0.007,-0.178,0.525,-0.127,-10.803,-0.002,-0.08,-0.01,-0.471,0.111,-0.628,0.073,-6.616,-0.338,-0.093,-1.451,-0.004,-0.053,0.031,-4.019,-0.015,-0.012,-0.008,-0.012,-0.22
vvi-miR3633b,0.213,-0.361,-0.001,0.061,0.004,0.194,0.102,-0.129,0.009,-0.349,0.166,0.039,0.693,-0.002,0.352,0.284,5.753,0.007,0.215,0.002,0.258,1.599,-0.067,-9.92,0.0,-0.047,-0.006,-0.211,0.053,-2.82,-0.062,-0.585,-2.322,-0.181,-1.607,0.001,-0.018,-0.044,11.148,-0.009,-0.07,0.002,-0.061,1.417,-0.05,-3.096,0.002,-0.05,-0.006,-0.09,-0.046,-0.878,-0.027,3.251,-2.71,-0.102,0.042,-0.01,-0.019,0.099,15.478,-0.009,0.1,0.005,0.053,2.53
nta-miR6151d,0.097,-6.119,0.001,0.04,0.002,0.125,-0.06,-0.868,-0.143,-0.33,-0.475,0.16,-0.033,-0.001,0.125,0.212,1.612,0.003,0.162,0.001,0.17,0.932,-0.208,-26.476,-0.003,-0.011,-0.004,-0.205,-0.063,-0.762,-0.121,-0.411,-0.038,-0.147,-4.338,-0.026,-0.184,-0.285,-12.532,-0.006,-0.266,-0.024,-0.189,-2.516,-0.133,-27.346,-0.002,-0.011,-0.005,-0.2,-0.006,-1.093,-0.03,0.867,-0.666,-0.178,-4.391,-0.006,-0.194,-0.3,-14.053,-0.007,-0.265,-0.025,-0.2,-2.793
gma-miR166a,0.163,-3.865,0.0,0.111,0.008,0.313,-0.025,-0.334,-0.174,-0.662,-0.513,0.18,-0.05,0.001,0.089,0.129,-0.7,0.013,0.097,0.008,0.102,0.392,0.041,-14.244,-0.005,0.006,0.0,-0.108,-0.026,-1.603,-0.022,-0.453,2.357,0.079,-2.471,-0.01,-0.24,-0.137,-4.461,0.002,-0.139,-0.018,-0.058,-1.211,0.003,-1.519,0.001,0.006,0.0,-0.229,-0.019,0.076,-0.037,-0.059,2.405,0.121,-0.573,-0.018,-0.136,-0.023,-5.826,0.001,-0.026,-0.007,0.115,-1.001
